view,theta_deg,gt_f_mm,gt_cu_mm,gt_cv_mm,gt_source_x_mm,gt_source_y_mm,gt_source_z_mm,gt_camera_euler_x_deg,gt_camera_euler_y_deg,gt_camera_euler_z_deg,unregularized_f_mm,unregularized_cu_mm,unregularized_cv_mm,unregularized_source_x_mm,unregularized_source_y_mm,unregularized_source_z_mm,unregularized_camera_euler_x_deg,unregularized_camera_euler_y_deg,unregularized_camera_euler_z_deg,intrinsic001_f_mm,intrinsic001_cu_mm,intrinsic001_cv_mm,intrinsic001_source_x_mm,intrinsic001_source_y_mm,intrinsic001_source_z_mm,intrinsic001_camera_euler_x_deg,intrinsic001_camera_euler_y_deg,intrinsic001_camera_euler_z_deg
0,-110.0,1199.9937431405717,200.96800000000053,148.14835730582172,-707.4389922805876,244.66906998919026,23.7486515498269,-91.96848319027744,1.178392436185486,-109.01475976280726,1201.6681796442263,198.77735350770394,148.26520392872894,-707.8082069279176,247.4227534629659,23.19039256341519,-91.91041383076221,1.244422558483625,-109.10722555407058,1201.5057549241358,198.94840778109096,147.15266891243186,-708.3479868446918,245.1278450311528,23.262363951067755,-91.97397445298266,1.199848558614341,-108.92723734373489
1,-109.59633027522936,1200.0024485691802,200.95891615595272,148.08686572358633,-709.3158986386005,239.37727017393468,22.657553036938157,-91.88341722521545,1.175496520572382,-108.58596318527316,1201.6117971903718,198.81608685467876,148.2110166373944,-709.6949231491913,242.0111428165905,22.25958841785614,-91.83753367654248,1.2325160615897486,-108.67224629036595,1201.4343184123477,198.93537465812938,147.11598306132626,-710.4491191893029,239.18588399724555,21.41742486253189,-91.82617108989538,1.2025085279409917,-108.44693395397279
2,-109.19266055045871,1200.011157108458,200.94982757368896,148.02539894137928,-711.1519883537168,234.07090152312645,21.56874298723565,-91.79853671037992,1.1713888630421472,-108.15712030304397,1201.5894533368023,198.84700627936877,148.16386672275922,-711.7168957868311,236.02213723644846,21.237321157706145,-91.75830979954273,1.2117229824170614,-108.19108374420958,1201.3775566679308,198.93091595325905,147.09918228080772,-712.3263988385954,233.66319940054538,20.23400089821218,-91.73170118249783,1.1954826867651493,-108.00243527358874
3,-108.78899082568807,1200.0198718690713,200.9407295149922,147.96398175922874,-712.9470759590785,228.7504328739288,20.48277801217784,-91.7138842568204,1.1660669696731174,-107.72824840457153,1201.5659121369579,198.85492414305554,148.10125149762922,-713.6003997351438,230.23167188686585,20.2068643405512,-91.67852485226179,1.2026021270225862,-107.72623440802127,1201.331764055191,198.9407037624935,147.0826257234824,-714.0633947805063,228.3933440137295,19.22655442178487,-91.65049731819984,1.1904641870512882,-107.58078837462885
4,-108.38532110091744,1200.0285959616922,200.93161724164838,147.90263897716352,-714.7009856245509,223.4163372368869,19.400216278500128,-91.6295025790823,1.1595294351754497,-107.29936483148593,1201.495825405284,198.8751011376412,148.0553065730586,-715.457964726995,224.4154422256625,19.189486467810188,-91.59945269192833,1.1850813796557944,-107.26141489009665,1201.2850873553502,198.93911053927513,147.06998349297072,-715.7827446336904,223.02030726021488,18.238200781511363,-91.57165296182266,1.1875740610660162,-107.15024356508938
5,-107.98165137614679,1200.0373324969864,200.92248601543886,147.8413953952119,-716.4135512148478,218.06909169271128,18.32161723029449,-91.54543447403162,1.1517759445934697,-106.87048696975458,1201.4161382533405,198.9051143449767,148.00656405096078,-717.2809988271185,218.49754166979096,18.010620171182197,-91.50754333068352,1.1611419888219312,-106.7901848868647,1201.21288342201,198.94586937956254,147.05788164205455,-717.4518431939064,217.71926988849023,16.942840145081906,-91.46799373714744,1.17021676948352,-106.72718972317762
6,-107.57798165137615,1200.0460845856255,200.91333109814894,147.78027581340197,-718.0846163420442,212.70917728649846,17.24754131042796,-91.46172279964547,1.142807274492808,-106.4416322408328,1201.346451588258,198.93527634798488,147.9550355118517,-719.0240404624335,212.56943046210654,16.709951389740507,-91.40563629559577,1.1321349877303617,-106.31958334351981,1201.1570376143413,198.95951271225255,147.04783067773826,-719.0345690752509,212.48130393324885,15.886972213913294,-91.38298697609375,1.1527147975976064,-106.3110835893262
7,-107.1743119266055,1200.0548553382773,200.9041477515625,147.7193050317627,-719.71403441241,207.33707891943519,16.178549681491738,-91.37841045378467,1.1326252936307077,-106.01281809282713,1201.2913383918094,198.9569852689728,147.92095026776624,-720.5200326214351,207.4064743285571,15.985347285325872,-91.34875492966965,1.127947808145643,-105.9103294394889,1201.0945765655802,198.95769805025225,147.03582318851267,-720.5928306697854,207.20576901318933,14.852254308973102,-91.30035448056407,1.1435801206979928,-105.89127770302898
8,-106.77064220183486,1200.0636478656097,200.89493123746252,147.65850785032194,-721.3016686675201,201.95328523801416,15.115203946474143,-91.29554035296599,1.1212329631091627,-105.58406199169416,1201.2384343601689,198.98333045146268,147.8810450002475,-721.9859650376137,202.17492623559662,15.243156534443715,-91.2902016695955,1.1210907884054397,-105.496966406714,1201.0126579486728,198.9559652946407,147.0249314156604,-722.1732572373757,201.72535560806247,13.492266805750448,-91.1918213856948,1.1171079470567884,-105.45627311474072
9,-106.36697247706422,1200.0724652782924,200.8856768176347,147.59790906910843,-722.8473922196112,196.55828852078662,14.058065869354786,-91.21315541115065,1.108634336010412,-105.15538141249549,1201.17343139984,199.00370378773053,147.84210764836948,-723.4756785887201,196.7026752282541,14.310764970979358,-91.21731365451951,1.1061894042794422,-105.06495513136598,1200.9685196083146,198.95897951336295,147.01665338063472,-723.6084808908886,196.53655493234774,12.740736307561495,-91.13167224978392,1.1101732697045912,-105.04564658817796
10,-105.96330275229357,1200.0813106869923,200.8763797538602,147.5375334881503,-724.3510880811343,191.15258456270948,13.007697095810519,-91.13129851856604,1.094834556515215,-104.72679383073134,1201.0592944544196,199.0258579286642,147.79752037019665,-725.0231881159195,190.84584196672319,13.050762668753672,-91.11882945871038,1.0777911068347068,-104.60400277967516,1200.9167908388,198.96067455457572,147.00733894450758,-725.049575256639,191.1777472161588,11.77146963881596,-91.05424367073688,1.0978428851804778,-104.62217370497794
11,-105.55963302752293,1200.0901872023803,200.86703530792482,147.47740590747588,-725.8126491884885,185.73667255710495,11.96465887423052,-91.05001252057748,1.0798398585050353,-104.2983167137739,1200.9749576598047,199.04048381782263,147.76414910633062,-726.4686321625281,185.16513741724597,12.080509301022921,-91.04314555046628,1.0591606616342102,-104.1574782426967,1200.8828346894188,198.9683761946017,147.0003062600812,-726.413991914571,185.92135229015335,10.995904578781008,-90.99195298118924,1.0882392791443887,-104.20822243929884
12,-105.1559633027523,1200.0990979351236,200.8576387416128,147.41755112711385,-727.2319784198967,180.31105497528978,10.929511777233412,-90.9693401966268,1.0636575636492926,-103.86996751242212,1200.9000611832057,199.0659887865092,147.7209437918441,-727.8011411528262,179.77036288154292,11.192853275079896,-90.97330887003747,1.046874538149449,-103.734929288021,1200.7769787814102,198.96720540704274,146.9802838006856,-727.7331374349277,180.86083999034423,9.786292588976224,-90.89503712051977,1.0710318342656784,-103.81072670132865
13,-104.75229357798165,1200.1080459958926,200.8481853167063,147.35799394709247,-728.6089886074175,174.87623744391743,9.902815423879773,-90.889324239254,1.0462960789796443,-103.44176365259892,1200.804965620544,199.08703120384305,147.67405557341377,-729.0940648230584,174.37585049044102,10.134074108619739,-90.89048770739731,1.0328304028268878,-103.31296852372894,1200.7406654170395,198.96210566703306,146.97274712308848,-729.1024183201821,175.21141400235663,8.96824076035132,-90.82945080981631,1.0493560465079117,-103.36665075329762
14,-104.34862385321101,1200.1170344953553,200.83867029498992,147.29875916744007,-729.9436025430726,169.43272862006626,8.885128202774109,-90.81000723321833,1.0277648939542172,-103.01372252721151,1200.7080047147078,199.112015143377,147.62482276882346,-730.4106054542934,168.62052468500428,8.976927548701642,-90.79983989672915,1.0056975962658978,-102.86410456633779,1200.685784539482,198.9660174500729,146.96224241386005,-730.356700723931,169.94625856778927,8.165227924119055,-90.76479308257561,1.0308588307307136,-102.95483558035454
15,-103.94495412844037,1200.1260665441791,200.82908893824856,147.23987158818517,-731.2357529790826,163.98104006414272,7.877006996248105,-90.73143163473526,1.0080745770142516,-102.58586148819585,1200.621662745902,199.12819904941057,147.58411448589766,-731.6039297928728,163.29702085759095,8.053922832121748,-90.72772647619185,0.994635385024015,-102.4488667276313,1200.6645067808704,198.96862113739303,146.95720610043944,-731.5709867420884,164.58154889765711,7.721260838327225,-90.72924781134004,1.0221847900381902,-102.53524850168152
16,-103.54128440366972,1200.1351452530348,200.8194365082647,147.181356009356,-732.4853826222156,158.52168611063843,6.879006905815831,-90.65363975084429,0.9872367716369173,-102.15819783876475,1200.5493363108965,199.1505117607748,147.54403185288746,-732.745030583743,158.0287486025625,7.299653421291136,-90.6683284210702,0.9835505687869589,-102.0391132984447,1200.589465599107,198.95181017144705,146.9408970401484,-732.8461772568153,158.88862066976932,6.537523034040732,-90.63486178939291,0.9983837809850564,-102.089699400896
17,-103.13761467889908,1200.1442737325892,200.80970826682318,147.12323723098106,-733.6924441222411,153.05518373679217,5.891680979092548,-90.57667371892386,0.9652641918882624,-101.73074882588016,1200.4738422924474,199.17065712307493,147.50426631679758,-733.8702625476412,152.61295839888038,6.4626397378443965,-90.60274067588458,0.9674369438163118,-101.61843375445854,1200.543884513564,198.9480107027798,146.92897056541062,-734.0522593966278,153.21098509976576,5.582961742416303,-90.55851122034535,0.9783879607710794,-101.64703849999661
18,-102.73394495412845,1200.1534550935125,200.79989947570652,147.0655400530888,-734.8569000545077,147.58205242922529,4.915579938364248,-90.50057548636819,0.9421706174809241,-101.30353163296816,1200.3819432818996,199.1942999545954,147.45624223868157,-734.9536085690268,147.2014072194043,5.482876917458436,-90.52589748676695,0.9485099950921658,-101.19910036165321,1200.4813622451288,198.95253942706495,146.9094972447894,-735.1637545886107,147.7958404581017,4.595595920783786,-90.47953202827179,0.9552530357141172,-101.22623211629842
19,-102.3302752293578,1200.1626924464722,200.79000539669892,147.00828927570726,-735.9787228966535,142.10281404859091,3.9512519109957775,-90.42538679044108,0.9179708883409143,-100.87656337289589,1200.2736261736245,199.22043977860338,147.40587411102294,-736.0007528771132,141.74710919117928,4.4645051359085,-90.44591435761934,0.9248974940834764,-100.77655507376932,1200.4074268311329,198.95947507364804,146.89165456107986,-736.1931981407756,142.5983264129455,3.4542277948773163,-90.38855062330765,0.9291416655357931,-100.82289445441852
20,-101.92660550458716,1200.1719889021394,200.7800212915866,146.9515096988653,-737.0578949994707,136.61799269231213,2.9992421618638305,-90.35114913832058,0.8926808986899811,-100.44986108122843,1200.1784970216231,199.2507121726533,147.3568526135857,-737.0025994355606,136.3031693429903,3.585029066095073,-90.37645920445539,0.9005433443438767,-100.35556699266029,1200.3405588165383,198.96158348710492,146.86749584480737,-737.2687176231724,136.87737799216356,2.0764881505829056,-90.27861444364555,0.8907932396981031,-100.37960228509222
21,-101.52293577981652,1200.1813475711801,200.76994242215073,146.89522612259088,-738.0944085519501,131.12811455546486,2.060092827996133,-90.27790378734947,0.8663175906480506,-100.02344170978346,1200.0975970794384,199.27003904790857,147.32023323200252,-737.960392278848,130.896984900096,2.8236669348381307,-90.31657312334188,0.882084042380082,-99.93754404139587,1200.2777084224526,198.95983975137938,146.84955243524576,-738.2567803603279,131.43169681147515,1.0378065223883324,-90.19596144598604,0.8652162919942054,-99.95781013320074
22,-101.11926605504587,1200.1907715642642,200.75976405017562,146.83946334691277,-739.0882655405356,125.63370778986085,1.134342655601496,-90.20569172550422,0.8388989473630251,-99.59732212050012,1200.0174942803471,199.2880583945725,147.28447383515407,-738.8885616319818,125.4049141980193,2.0767141305428916,-90.25789748131773,0.8612997201950889,-99.51340681921221,1200.2478789969475,198.9644560925758,146.83681614387189,-739.228108791131,125.75893509979284,0.05068024857065967,-90.11675051388274,0.8379029209586508,-99.51918813535123
23,-100.71559633027523,1200.2002639920593,200.74948143744658,146.78424617185894,-740.0394777026213,120.13530236141219,0.222526739666427,-90.1345536520964,0.8104439856739043,-99.1715190796395,1199.9082560475563,199.31812368340096,147.23203032116433,-739.7780346551452,119.84850735439358,1.108436138010966,-90.18155003346331,0.8288198047364634,-99.08553565107557,1200.2100520089243,198.96551410868508,146.82404803371904,-740.1184884452999,120.34608611758156,-0.9160636115899751,-90.03939937330735,0.8174273315927781,-99.10080366431852
24,-100.31192660550458,1200.2098279652337,200.7390898457449,146.72959939745797,-740.9480664743396,114.63342990583345,-0.6748237337015904,-90.06452995871875,0.7809727483146369,-98.74604925233093,1199.8133112664677,199.33963301332346,147.18866879907011,-740.5946665247664,114.57911691587174,0.2841746705328376,-90.1167894871882,0.8091309663270091,-98.67975760559057,1200.1974639857235,198.9693942642973,146.8185436506576,-740.9723297577996,114.83792718215625,-1.4406253984878137,-89.99741773846047,0.7970642419228309,-98.67570531978323
25,-99.90825688073394,1200.2194665944603,200.72858453685689,146.6755478237384,-741.8140629326788,109.12862358275065,-1.5571817420128704,-89.99566071044853,0.750506295665821,-98.32092919748013,1199.6920514697135,199.3820374045099,147.12205233896614,-741.387673094063,109.08192355361763,-0.991769774489509,-90.01650833636036,0.7627851084528289,-98.2581702042191,1200.1611500598804,198.97602100500438,146.80481417788366,-741.7918777737286,109.36008696907828,-2.319601116037075,-89.926859463669,0.7736485944114602,-98.25395817128933
26,-99.5045871559633,1200.2291829904038,200.71796077256568,146.62211625072862,-742.637507731982,103.62141792829583,-2.4240246780428145,-89.9279856273197,0.7190666970620964,-97.8961753630527,1199.6355592064335,199.39192079661552,147.10451317289966,-742.1495488990893,103.63766932977089,-1.5265924172122074,-89.97469652706685,0.7408312840629929,-97.83947505007953,1200.1351318332186,198.9845015933727,146.79684290764968,-742.5379624864025,104.1261105442711,-2.7020795755645404,-89.89606956761966,0.7568847642267302,-97.85157590906371
27,-99.10091743119266,1200.2389802637363,200.707213814655,146.56932947845678,-743.4184510348924,98.11234870625186,-3.2748345982208136,-89.8615440660753,0.686677021663125,-97.47180408174631,1199.5101156862936,199.4275600270678,147.04495255063753,-742.8827694436477,97.95361834351195,-2.7081431566561394,-89.88192005975792,0.6933151467750913,-97.40440339885893,1200.0584035208278,198.99000376593952,146.78191764891577,-743.3216307800944,98.39260446430464,-3.9102002517301875,-89.7995664893285,0.7114078024732562,-97.41148966342529
28,-98.69724770642202,1200.2488615251214,200.69633892490805,146.51721230695134,-744.1569524377916,92.60195275782627,-4.1090984675937845,-89.79637500221098,0.6533613288966993,-97.04783156706443,1199.4203589768435,199.44743194832307,147.00547210862607,-743.5753492693218,92.28621705514492,-3.5685133390373913,-89.81468107620798,0.6593011565994763,-96.96995412976176,1199.9847132769728,198.99399501977473,146.76660908632488,-744.0431223980075,92.75723588242674,-5.173267304172834,-89.69881745249339,0.6710200977494721,-96.97926568144686
29,-98.29357798165138,1200.2588298852324,200.6853313651095,146.4657895362407,-744.8530808908163,87.09076785012559,-4.9263084012035305,-89.73251701231936,0.6191446584822191,-96.62427390980243,1199.349912437728,199.4689056395244,146.9705977842363,-744.2037842982755,86.94228059657422,-4.242341687088358,-89.7617987194302,0.634951481037976,-96.56094128058024,1199.9537426852044,199.00179565810598,146.75793430871389,-744.6797909363138,87.41071974511323,-5.601207663390101,-89.66436457473571,0.6476264474210438,-96.56979211209455
30,-97.88990825688073,1200.2688884547351,200.6741863970426,146.41508596635327,-745.5069146124981,81.57933252341395,-5.725961901719025,-89.6700082567462,0.5840530200439296,-96.20114707495767,1199.254580216171,199.49472255589944,146.92581018365792,-744.8094016371024,81.30426104609882,-5.098849244254466,-89.6945570294167,0.5984484429642307,-96.12997259428312,1199.9139253281019,199.00794915919369,146.7491550378626,-745.2921056819829,81.81493923783327,-6.285395124127378,-89.6094723626223,0.609850268005158,-96.14085127025089
31,-97.4862385321101,1200.2790403443014,200.66289928249307,146.36512639731754,-746.1185409991277,76.06818593722885,-6.507562093167489,-89.60888646256606,0.548113382322441,-95.77846689907294,1199.1471065222254,199.52342250163724,146.87757377624573,-745.3657945608129,75.69930045877767,-5.987690926107921,-89.62465263308188,0.5594924470007321,-95.7020838905311,1199.827480589009,199.02318538030386,146.73014062232085,-745.8513414415801,76.37229959111676,-7.5090636114891645,-89.51108372955672,0.5599810944785213,-95.72494072642924
