view,theta_deg,gt_P11,gt_P12,gt_P13,gt_P14,gt_P21,gt_P22,gt_P23,gt_P24,gt_P31,gt_P32,gt_P33,gt_P34,unregularized_P11,unregularized_P12,unregularized_P13,unregularized_P14,unregularized_P21,unregularized_P22,unregularized_P23,unregularized_P24,unregularized_P31,unregularized_P32,unregularized_P33,unregularized_P34,intrinsic001_P11,intrinsic001_P12,intrinsic001_P13,intrinsic001_P14,intrinsic001_P21,intrinsic001_P22,intrinsic001_P23,intrinsic001_P24,intrinsic001_P31,intrinsic001_P32,intrinsic001_P33,intrinsic001_P34
0,-110.0,-200.95308823172738,-31.580066395861014,-1199.5806251924396,152088.20970131623,170.95062895704461,1193.944174442304,-84.88881035454713,113352.24279226405,0.9451069078018698,-0.03434248981899998,-0.32495157518962736,748.9266659700102,-205.48881923779794,-32.72234927023409,-1200.0927072763325,152242.41348186857,169.36914654646003,1195.7754467721556,-86.16318799884282,113469.103119443,0.9446194247182831,-0.0333289709194349,-0.32647101271376533,750.1586500499682,-201.51712937805374,-32.010648252359665,-1200.6509326284324,152313.36619014188,170.14093778860382,1195.4618454821884,-84.81200025480724,113499.50507844616,0.9456038898139651,-0.03443798576903477,-0.3234923626685339,749.9147064059068
1,-109.59633027522936,-191.97432338211675,-31.221172795627442,-1201.0668008424207,152045.04775536832,169.85975869093218,1194.2357796004449,-82.97084711775842,113287.10175055603,0.947549366111541,-0.0328589954222174,-0.3179158460999696,748.9581619438105,-196.31342526720746,-32.22010331173111,-1201.5912748136225,152193.04259642333,168.60221388804482,1195.964688057739,-84.13818885778218,113396.83274959447,0.9470991226015086,-0.03205809652087924,-0.31933607753417204,750.1479281299711,-191.4218097636469,-31.551665567290936,-1202.2403300593521,152239.2154087563,167.86202634517426,1195.8725323475458,-82.45506105654283,113367.00532439738,0.9483469516518355,-0.03186028380802659,-0.3156310846674377,749.9291217246549
2,-109.19266055045871,-182.98423212241931,-30.837569028558057,-1202.4863514891356,152002.5914518086,168.76109642063423,1194.5244867823662,-81.05084039517156,113222.0409094238,0.9499373693843932,-0.0313786734555386,-0.3108606972571952,748.9900912473523,-186.1767278165044,-31.509949493908877,-1203.2051801088787,152147.12227101636,167.81979266681742,1196.2099402581487,-81.78038718074318,113337.86898153734,0.9497758955132397,-0.030676617093287,-0.31142365591864646,750.1259180729899,-182.06955196185373,-31.075296811828185,-1203.6472326717226,152183.8926321463,166.64688330141362,1196.1231847209256,-80.40045272055409,113291.24368169295,0.9508038884632651,-0.03021270821602848,-0.3083166520728132,749.9362891877499
3,-108.78899082568807,-173.98366671486176,-30.429351748946747,-1203.8391121438406,151960.84922139818,167.6552498820914,1194.8101748876302,-79.12898300036244,113157.07770791766,0.9522706894556907,-0.029902268840683272,-0.30378674810097156,749.0224352331549,-176.38961107084236,-31.04175256359236,-1204.6688985360881,152108.49409373847,166.88678856385343,1196.4485619412153,-79.71287227101844,113266.43310194729,0.9523006307856197,-0.029285142923729475,-0.30375300658470444,750.0874342535601,-173.17838844094652,-30.68767511068527,-1204.9244241298884,152126.3888136767,165.630735332572,1196.3387308727408,-78.5586538497819,113211.64708952284,0.9530772453315298,-0.028796411707853787,-0.3013544940829897,749.9385897035185
4,-108.38532110091744,-164.9734820594783,-29.996640749340674,-1205.1249303263378,151919.82893471138,166.5428290511563,1195.0927259307734,-77.20546781925373,113092.2295504812,0.9545491110511426,-0.0284305283761857,-0.29669462355715925,749.0551749677179,-166.56779462312085,-30.3992805158502,-1206.0159899316773,152059.70296370535,166.01235944304594,1196.639158886936,-77.50627128009127,113205.57800491918,0.9547600736027336,-0.027906119793854885,-0.2960649427611344,750.0677482278163,-164.10182295401938,-30.352489666496737,-1206.1558915404598,152089.5791024083,164.64605818700912,1196.542366088053,-76.76846362812047,113148.95385215517,0.9553429545762774,-0.02742118778565722,-0.2942242641283899,749.9361010108933
5,-107.98165137614679,-155.95453537302885,-29.539578922504436,-1206.343666185872,151879.5378979174,165.42444612897415,1195.3720250878519,-75.28048777190347,113027.5138081493,0.9567724318632335,-0.026964200367525885,-0.2895849538996359,749.0882912384287,-156.58887902775763,-29.57776005069157,-1207.298313486915,152006.1998065142,164.90038702501792,1196.8605695741592,-75.09435871215855,113131.6459676944,0.957191625202398,-0.02630315663611917,-0.28825741376999825,750.0326374344414,-155.15991394448187,-29.627663009103614,-1207.2860250209972,152031.6424231082,163.22398569513066,1196.8015278266823,-74.58117763989878,113065.89196225257,0.9575222843884643,-0.025613177870652513,-0.2872194979782241,749.943307209571
6,-107.57798165137615,-146.92768586704872,-29.058332212727034,-1207.4951926185936,151839.98284869012,164.30071552616758,1195.6479607394308,-73.35423577412756,112962.9478197436,0.9589404626200673,-0.02550403425657347,-0.28245837460881035,749.121764560538,-146.6164558271034,-28.615471032410312,-1208.5086731657573,151949.40702622136,163.58573997140684,1197.121832287276,-72.54730261669583,113039.5708899536,0.9595567037009519,-0.024525731927274433,-0.28044504070493936,749.9682045147463,-146.35643760211087,-28.965035978748205,-1208.3475965007651,151976.10158823666,162.14717938332245,1197.0158088069481,-72.54489509895788,112986.90426485105,0.9596077698672688,-0.0241304480808912,-0.28030456558140837,749.9339986391251
7,-107.1743119266055,-137.89379442534738,-28.553089556488885,-1208.5793953814182,151801.1699522479,163.17225384585285,1195.9204245099363,-71.4269046989858,112898.54889306454,0.9610530271466611,-0.024050780250601957,-0.2753155262268663,749.1555751841915,-137.941732047096,-28.329728274178137,-1209.4851544409685,151918.13090586232,162.94582237460617,1197.2446754494913,-70.95957459695337,112984.83251731882,0.9615524785007851,-0.023533479294120547,-0.2736110495599741,749.9427171425265,-137.48003537642197,-28.485495251397758,-1209.33869121697,151937.89947812882,161.0517811520013,1197.2100296481692,-70.69849843588244,112920.62777962835,0.9616593289917248,-0.022688998760823312,-0.2733066854257632,749.932522727856
8,-106.77064220183486,-128.85372328128497,-28.02406281252068,-1209.5961732022174,151763.10479752402,162.0396798655196,1196.1893113033777,-69.49868733817026,112834.33430608011,0.9631099624186272,-0.022605188951131106,-0.2681570542097935,749.1897031015294,-129.17026172665567,-27.982324102853976,-1210.4132260589563,151882.62757267678,162.27218759291605,1197.374897101305,-69.30851149989559,112918.91217109795,0.9635180002937939,-0.022512053998859204,-0.2666950890710239,749.9086879965731,-128.27193505788517,-27.552355199042914,-1210.2900943231398,151883.38224082903,159.53134800517427,1197.4670969841118,-68.33726887173202,112838.08752118284,0.9637336795009273,-0.02079575394037518,-0.26605437717439545,749.9331861417223
9,-106.36697247706422,-119.80833569511684,-27.471486681294945,-1210.5454378861966,151725.79239346477,160.90361451780572,1196.4545193353592,-67.56977636332941,112770.32130811005,0.9651111186081952,-0.021168010982855437,-0.2609836087762374,749.2241280538415,-120.00135949521761,-27.416147566298363,-1211.308364376985,151841.87685117326,161.3600941303001,1197.5383446778585,-67.37874685415973,112855.99356337865,0.9655204533032331,-0.021240573635370637,-0.2594592304867174,749.8708587513911,-119.57830779970033,-27.197452475620608,-1211.14477229366,151852.85898670374,158.8307796231577,1197.6057098282802,-66.72598249539355,112787.0153365973,0.9656302904232854,-0.019746415266565877,-0.2591683261919979,749.92590140271
